UY,UA,B,Y-hat,A,Y
0.7739560485559633,-1.0989245655905424,1,0,-0.5494622827952712,0
0.4388784397520523,-0.5413143554356487,0,0,-1.0826287108712973,0
0.8585979199113825,0.27200110688318835,1,0,0.13600055344159417,0
0.6973680290593639,-0.6283199853884129,1,0,-0.31415999269420647,0
0.09417734788764953,-0.2783664403010984,0,1,-0.5567328806021968,1
0.9756223516367559,0.4413586925299495,1,0,0.22067934626497476,0
0.761139701990353,-0.348772681201302,1,0,-0.174386340600651,0
0.7860643052769538,0.22605958910202525,0,0,0.4521191782040505,0
0.12811363267554587,1.5927284560195685,1,1,0.7963642280097842,1
0.45038593789556713,-0.17185879898699755,0,1,-0.3437175979739951,1
0.37079802423258124,1.1793378097192062,1,1,0.5896689048596031,1
0.9267649888486018,0.5593700673073582,1,0,0.2796850336536791,0
0.6438651200806645,-1.4672419934867666,1,0,-0.7336209967433833,0
0.82276161327083,-1.1021370292635242,1,0,-0.5510685146317621,0
0.44341419882733113,-0.8335958830698964,0,0,-1.6671917661397928,0
0.2272387217847769,-0.8548349169327834,1,1,-0.4274174584663917,1
0.5545847870158348,-0.0902897461068142,0,0,-0.1805794922136284,0
0.06381725610417532,0.6146440480818223,1,1,0.30732202404091113,1
0.8276311719925821,1.2551584167047227,1,0,0.6275792083523614,0
0.6316643991220648,0.30817508872508226,0,0,0.6163501774501645,0
0.7580877400853738,-0.4456795560532098,0,0,-0.8913591121064196,0
0.35452596812986836,-2.0822412436298743,1,0,-1.0411206218149371,1
0.9706980243949033,0.07058957541733794,1,0,0.03529478770866897,0
0.8931211213221977,0.025770193694991287,0,0,0.051540387389982574,0
0.7783834970737619,0.18292875353895768,0,0,0.36585750707791537,0
0.19463870785196757,2.1062402977033328,0,1,4.2124805954066655,1
0.4667210037270342,1.2405965461930721,1,1,0.6202982730965361,1
0.04380376578722878,0.7850609182499858,0,1,1.5701218364999716,1
0.15428949206754783,-0.9620771300715998,1,1,-0.4810385650357999,1
0.6830489532424546,-0.5129947491967435,0,0,-1.025989498393487,0
0.7447621559078171,-0.09484460692850216,1,0,-0.04742230346425108,0
0.96750973243421,-0.7754071240103536,0,0,-1.5508142480207072,0
0.32582535813815194,0.5004645249851181,1,1,0.25023226249255903,1
0.3704597060348689,0.35690884921570454,0,1,0.7138176984314091,1
0.4695558112758079,-1.0883077930546925,1,0,-0.5441538965273462,0
0.1894713590842857,1.1968167090961244,0,1,2.3936334181922487,1
0.12992150533547164,0.1023103338088603,1,1,0.05115516690443015,1
0.47570492622593374,-1.7290711467422513,1,0,-0.8645355733711256,0
0.2269093490508841,-0.051342858344969454,0,1,-0.10268571668993891,1
0.6698139946825103,0.28120645592290483,1,0,0.14060322796145241,0
0.43715191887233074,0.9727923614357405,1,1,0.4863961807178703,1
0.8326781960578374,-0.3374764031266163,0,0,-0.6749528062532326,0
0.7002651020022491,0.8279382674472072,0,0,1.6558765348944144,0
0.31236664138204107,0.1871419867702157,0,1,0.3742839735404314,1
0.8322598013952011,-1.3150546090375794,1,0,-0.6575273045187897,0
0.8047643574968019,-1.4151667734825137,1,0,-0.7075833867412569,0
0.38747837903017446,1.1225598701493487,0,1,2.2451197402986973,1
0.2883281039302441,1.195984178381769,1,1,0.5979920891908845,1
0.6824955039749755,0.32290923040472297,1,0,0.16145461520236148,0
0.1397524836093098,1.4957067211800286,1,1,0.7478533605900143,1
0.19990820247510832,1.0566098490416067,1,1,0.5283049245208034,1
